YEAR,"Dead, No Quit","Dead, Quit",No Quit,Quit
1998,2,1,2185,0
2000,2,1,1974,211
2002,198,1,1613,376
2004,338,13,1329,508
2006,471,57,1081,579
2008,576,121,905,586
2010,676,200,729,583
2012,750,274,617,547
2014,815,336,516,521
2016,886,410,415,477
