YEAR,"Dead, No Quit","Dead, Quit",No Quit,Quit
1998,1,0,498,0
2000,1,0,452,46
2002,17,0,397,85
2004,29,1,352,117
2006,48,6,305,140
2008,69,14,261,155
2010,87,22,225,165
2012,96,34,202,167
2014,108,49,170,172
2016,129,61,138,171
