YEAR,"Dead, No Quit","Dead, Quit",No Quit,Quit
1998,6,1,2489,0
2000,166,1,2118,211
2002,373,1,1737,385
2004,518,14,1439,525
2006,657,60,1181,598
2008,762,124,1002,608
2010,871,206,813,606
2012,950,282,694,570
2014,1019,347,588,542
2016,1093,425,482,496
