YEAR,"Dead, No Quit","Dead, Quit",No Quit,Quit
1998,1,0,422,76
2000,1,0,354,144
2002,17,0,292,190
2004,28,2,256,213
2006,41,13,215,230
2008,59,24,179,237
2010,73,36,151,239
2012,75,55,135,234
2014,85,72,110,232
2016,96,94,89,220
